song_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
6rUp7v3l8yC4TKxAAR5Bmx,0.83,0.139,89.342,0.0421,0.00461,0,0.498,231480,-5.157,0.453,0,6
56sk7jBpZV0CD31G9hEU3b,0.853,0.126,122.023,0.0339,0.000684,0,0.553,231400,-3.668,0.506,1,8
1Q2fYlSdwuutWj3QplhY9q,0.948,0.105,196.578,0.147,0.0104,0,0.185,207587,-3.892,0.316,1,8
3HE50TVRquwXe9yv2HFoNL,0.778,0.163,149.864,0.0371,0.00838,0,0.433,209333,-4.68,0.217,0,2
6OMO6WdRhSfjMPAiPT94wH,0.95,0.0377,178.018,0.0641,0.00021,0,0.376,179160,-4.067,0.438,1,9
5Z6UMh8TMzxXslMc3bRXy1,0.932,0.123,92.497,0.052,0.000572,4.75e-06,0.492,198360,-4.689,0.33,1,10
2pAUx2a1F5JCaVgytQm8fI,0.833,0.111,135.431,0.054,0.0036,1.33e-06,0.489,236693,-5.348,0.307,1,9
3UeTr9z3nVsPVg58IKGHcT,0.902,0.347,171.997,0.0517,0.00125,0,0.436,162120,-4.861,0.53,0,0
54C4TfHY00UYEnhMaYgfqZ,0.552,0.266,168.124,0.0347,0.317,0.000112,0.443,235573,-6.838,0.265,0,7
2XU0oxnq2qxCpomAAuJY8K,0.588,0.149,98.027,0.0924,0.692,0.000104,0.824,209438,-6.4,0.513,0,6
5R2FLI5NJc6T3mCNdooKaj,0.506,0.118,145.843,0.0964,0.345,0,0.677,208520,-6.652,0.497,0,9
696DnlkuDOXcMAnKlTgXXK,0.601,0.46,116.735,0.148,0.0522,0,0.621,163636,-5.616,0.457,0,6
7k4t7uLgtOxPwTpFmtJNTY,0.715,0.0574,101.085,0.298,0.295,0.000134,0.803,200960,-3.28,0.574,1,2
2Xe2YAxNPqWCNpZ8RagBdO,0.761,0.114,155.901,0.031,0.0175,0,0.409,221093,-4.514,0.271,1,2
4FGQwSKgEykxtBwb2px8ug,0.848,0.216,117.02,0.0376,0.0201,0,0.566,185760,-4.103,0.268,1,7
15ZDD1aPzLMKSaSVzRvQCY,0.886,0.0921,118.055,0.0691,0.000179,0,0.525,193120,-5.328,0.389,1,2
2AUoqUNZCmEQnkRJGegS2F,0.762,0.756,75.921,0.0364,0.000207,0,0.417,208493,-5.862,0.374,1,2
5fMOlPVPDpeOqhSSX4cnfu,0.911,0.0879,121.193,0.0336,0.00298,0,0.524,185800,-3.159,0.615,1,2
0TK2YIli7K1leLovkQiNik,0.54,0.0945,116.947,0.0287,0.037,0,0.759,190960,-6.039,0.75,0,9
6cy3ki60hLwimwIje7tALf,0.716,0.237,104.994,0.0657,0.0334,0.00084,0.721,221714,-7.037,0.667,0,10
1JxhrUWZjuI8AOjDJ1JpMN,0.611,0.114,116.011,0.0663,0.683,0.00638,0.808,257384,-3.221,0.172,0,0
3npVUK2S6JXGkgJ4jnMULz,0.803,0.0498,110.215,0.21,0.466,0,0.817,194182,-2.941,0.348,1,2
688QpQAwqsLdBR6lr13wK1,0.774,0.114,100.005,0.0555,0.434,3.34e-06,0.731,212467,-5.273,0.219,0,10
5uHAzGa4d9j35DEbhUwGhi,0.741,0.156,140.04,0.137,0.531,2.92e-05,0.62,176395,-6.081,0.353,1,4
1nMCaepTVQRf6aCwLOs3u3,0.634,0.0591,130.029,0.116,0.278,0,0.84,266166,-4.565,0.443,0,5
0oa9Tz96GruIbaL6borlXM,0.603,0.0716,129.892,0.193,0.32,0,0.866,156111,-6.072,0.315,1,1
2UAWYufVaO3EnUUNzl0ppO,0.751,0.667,163.874,0.327,0.173,0,0.602,196745,-4.358,0.934,1,1
0e7ipj03S05BNilyu5bRzt,0.52,0.131,159.801,0.0712,0.124,7.01e-05,0.585,218147,-6.136,0.129,0,5
5CTkt6WZHrzG7i060niTmV,0.913,0.243,92.285,0.265,0.449,0,0.588,276120,-4.589,0.884,1,9
5wSmOzNF4IKTiNei97c4xO,0.637,0.338,81.947,0.293,0.158,1.28e-05,0.654,309800,-6.915,0.364,0,10
1bM0x8bPWWU7PO63Cg6PbT,0.876,0.362,91.067,0.192,0.697,6.52e-06,0.607,258900,-5.113,0.792,0,4
0blWPYAfbvpRLVHUcmqmmj,0.807,0.1,108.056,0.162,0.441,1.34e-06,0.782,170302,-4.689,0.806,0,0
0VMxiFeuVhG3Hu7NHnge9e,0.84,0.594,81.941,0.384,0.608,0,0.607,150661,-3.792,0.657,0,4
13VEtVCYfLTVsq5STs3SlW,0.977,0.544,89.965,0.277,0.276,0,0.583,155868,-2.674,0.704,1,9
25NPeIjHjQGvyp4D52Tji2,0.881,0.257,89.951,0.126,0.327,5.07e-06,0.763,143000,-3.289,0.956,0,11
3C2BKKKa7xrz2uWqIN1Mnh,0.925,0.189,95.951,0.0792,0.0543,0.000427,0.776,206053,-2.134,0.715,0,11
5K9f1sLmvp9yhlZB6hVa4q,0.935,0.161,91.995,0.247,0.138,0,0.713,207093,-2.774,0.872,1,6
2zbFsbm9yMSTC9TUN2eNiA,0.767,0.0667,205.002,0.39,0.0757,0,0.604,221747,-4.188,0.904,1,5
3wNiMUFSp0H7zF7QH4vCPq,0.656,0.15,145.063,0.163,0.14,0,0.704,202269,-3.658,0.264,1,2
0LPx8WfsRrXCF92YtINFtN,0.82,0.0756,139.936,0.031,0.00858,0,0.481,243000,-3.508,0.345,1,8
4urxRqBRiaH0i20OKBsgxc,0.897,0.0924,115.491,0.0357,0.000666,0,0.578,193107,-3.906,0.737,1,0
1uiwlmWedlNpzAxDSRGqdK,0.868,0.162,162.969,0.0366,0.0199,0,0.434,232813,-3.503,0.366,1,9
55KYlnsC6nYnr3IykbmJwE,0.911,0.23,128.036,0.0397,0.000345,0,0.548,173173,-3.701,0.654,1,10
1o4Pf2GIMDCD7ifIM2yI77,0.456,0.111,138.78,0.0282,0.554,0,0.465,207467,-6.603,0.293,0,4
1bPRhOz3nOfEIoLjB1YYT3,0.916,0.156,197.817,0.0581,0.00261,0,0.271,225493,-3.141,0.286,0,6
3THZtwFfwGqnJPLdtkbesl,0.883,0.092,98.147,0.0364,0.0032,0,0.468,292013,-3.804,0.119,1,8
3umZYbgTkZEnZCae8HKqZh,0.919,0.286,145.302,0.0717,0.0066,1.46e-05,0.451,218667,-3.816,0.481,1,5
0hmb7mLw2Y5m5Op1HFK1kr,0.843,0.311,79.901,0.038,0.0191,0,0.405,213773,-4.262,0.396,1,2
0BwqmbPmRUFnMPpbleuMDp,0.48,0.0902,114.941,0.0589,0.707,2.32e-06,0.662,150067,-7.884,0.767,1,2
4kqlHVYwkpLI1FzhVBAVZM,0.517,0.102,185.395,0.0701,0.683,0.00886,0.418,287573,-8.97,0.381,0,7
6V7HBMafvWrig07mvkWHLX,0.793,0.194,161.406,0.0839,0.025,0.0153,0.421,262080,-7.171,0.452,0,11
0ySVybuVzBE5dOSFodgX8d,0.748,0.235,75.955,0.0696,0.0104,0.00869,0.454,356867,-7.89,0.763,0,6
6g2BiiVQqY5v1S4HIrM54F,0.497,0.143,112.195,0.0402,0.492,0.366,0.765,151565,-7.806,0.457,0,1
2gZ0PQd5J4iCjRrftwL5ov,0.242,0.103,134.677,0.0457,0.969,0.93,0.631,199776,-19.038,0.0782,1,1
5OQUTOpQ7GqC9jtSPd2fRN,0.0578,0.0703,98.48,0.048,0.99,0.876,0.441,242976,-21.398,0.0706,0,2
02o51002gqdUMH1DNMJH8m,0.124,0.0973,114.955,0.0503,0.958,0.83,0.684,186576,-20.211,0.357,0,9
0Mjg7TsyUBArnW63hWYa4a,0.326,0.0972,139.853,0.0774,0.981,0.882,0.732,147144,-19.067,0.18,1,7
7xEX406hnVXC7mDfkts2jc,0.194,0.0545,100.02,0.0381,0.991,0.919,0.578,284616,-19.643,0.0596,0,9
2qOm7ukLyHUXWyR4ZWLwxA,0.744,0.292,82.356,0.136,0.33,0.000106,0.798,260000,-5.328,0.794,0,7
0EJgC9e3Noil3OqDrUNNiM,0.631,0.0854,96.038,0.245,0.00559,0,0.787,154788,-9.776,0.522,0,6
2xzD0VXNxvv9oiRwvqElZw,0.734,0.127,91.983,0.275,0.443,0,0.726,214800,-5.807,0.78,0,11
35wvL50xvKpCHEJPxLOLPI,0.594,0.152,171.854,0.0789,0.0626,5.14e-05,0.672,169248,-6.813,0.158,0,1
62o8KoI44JfN7aYxgTnPvh,0.752,0.232,180.049,0.345,0.31,0,0.749,183753,-4.883,0.901,1,6
1q8NdCAQ9QUjpYiqzdd3mv,0.878,0.776,87.991,0.101,0.0959,0,0.829,239307,-5.951,0.883,1,9
15wPtgg6jsyMLhIkjcSpl4,0.776,0.443,96.01,0.108,0.104,0,0.822,206947,-5.524,0.705,0,11
68QcquxCS39cQGTsRrJWIR,0.418,0.0832,147.887,0.0587,0.985,0.000126,0.749,153887,-7.925,0.307,0,9
0VKkyBKCXyR99navhVRqcP,0.838,0.0935,93.996,0.0633,0.16,0,0.769,249609,-5.238,0.602,1,2
5tqPtgj3Q2NrwRBUCZ3j7L,0.687,0.0843,120.036,0.219,0.00597,0,0.594,214787,-5.808,0.773,0,10
1fmqHIcOMcPXRGcucEayUK,0.608,0.0588,168.014,0.326,0.353,0,0.568,439067,-7.973,0.606,1,3
45gfjPv3n6Bisve1FRL5aE,0.774,0.0677,90.012,0.286,0.155,0,0.849,255526,-3.53,0.729,1,1
1nocRtwyNPVtGcIJqfgdzZ,0.832,0.0665,146.013,0.0503,0.273,0,0.731,178613,-2.592,0.94,1,9
3SXo6PO3z3C0laMLCK9T7h,0.757,0.0769,175.939,0.0588,0.00449,4.04e-06,0.699,230240,-6.135,0.39,0,10
4vCAzANUWDE24URV6wQ4ra,0.646,0.0958,88.661,0.275,0.197,2.3e-05,0.514,233128,-8.833,0.297,1,1
5YUyW9opqNsMSEzzecZih1,0.749,0.3,179.968,0.056,0.0338,0.00106,0.594,172854,-5.298,0.694,0,9
5w9c2J52mkdntKOmRLeM2m,0.86,0.0574,93.989,0.0593,0.11,1.94e-06,0.737,193227,-2.652,0.656,0,8
2TH65lNHgvLxCKXM3apjxI,0.624,0.243,176.169,0.309,0.6,2.12e-06,0.61,250534,-4.773,0.244,1,2
6CLdnyg83r7ZRjLhiSykyK,0.703,0.0709,91.993,0.0429,0.14,2.08e-05,0.537,232667,-7.392,0.499,1,2
2RUuz0xAoJdykG9Hwc7JT2,0.843,0.377,172.069,0.0992,0.0171,0,0.449,187333,-3.602,0.889,1,0
1LIqNVhaIgxXUt2eVoIQJ3,0.791,0.188,91.98,0.0773,0.252,1.14e-06,0.837,184436,-3.157,0.618,0,4
5iwz1NiezX7WWjnCgY5TH4,0.773,0.143,126.899,0.0524,0.323,0,0.826,238200,-4.218,0.761,0,11
15PxHZffHMndHQjmzYuGUv,0.681,0.113,96.017,0.0544,0.0115,2.65e-06,0.842,232587,-8.149,0.238,0,4
116H0KvKr2Zl4RPuVBruDO,0.539,0.099,97.062,0.0621,0.0141,0.000496,0.817,210368,-6.349,0.158,0,6
6HFRqU7JQf3J4ukXW2NGoA,0.8,0.052,87.319,0.392,0.692,0,0.646,206373,-5.523,0.959,1,0
06b0Au6pvZiO03eKTCvgWh,0.876,0.111,135.047,0.304,0.16,3.3e-06,0.617,170982,-4.86,0.542,1,9
