artist_name,track_name,end_time,ms_played,track_id
Eminem,Unaccommodating (feat. Young M.A),2020-01-31 12:18,216600,0q2vG0UVuy6ajjcpkQHdZM
Calle 13,La Crema,2020-01-31 12:22,241240,3ZUwkZWSiYxkP8kZDlxqnL
Tones And I,Dance Monkey,2020-01-31 12:26,209438,2XU0oxnq2qxCpomAAuJY8K
Justin Bieber,Yummy,2020-01-31 12:29,210426,5R2FLI5NJc6T3mCNdooKaj
Lobo Estepario,Hablemos,2020-01-31 12:33,245454,4a95B0X4hYSyblp7UNwSsh
Duki,Hitboy,2020-01-31 12:36,179204,624AL3EwsrgGIp6bdwmXgo
El Ezequiel,Tres Gallitos,2020-01-31 12:40,200945,3FWAZnfVEWlUBB4YyZ0lEK
4 Elementos,Cypher #1 (Reggae Cypher),2020-01-31 12:44,227959,
Los Pericos,Runaway,2020-01-31 12:48,233267,0ZLakHzHWqUIlkeDa4i8aC
Iggy Azalea,Kream (feat. Tyga),2020-01-31 13:01,144957,5mu1uv8RmzDkF8foePK5qa
Red Bull Batalla de los Gallos,Snk Vs Bnet - Semifinal (Live),2020-01-31 16:35,4449,1V1z91iFkm5lOGiRpWVNZd
Red Bull Batalla de los Gallos,Valles T Vs Aczino - Semifinal (Live),2020-01-31 16:35,771700,37h0sxGYkmRhTRFbOssV6I
Red Bull Batalla de los Gallos,Bnet Vs Yartzi- Cuartos de Final (Live),2020-01-31 16:40,10906,7zQJ9EiLTAfSfnqfmsxBQm
Red Bull Batalla de los Gallos,Valles T Vs Jokker Liricis - Cuartos de Final (Live),2020-01-31 16:40,267323,7rpC4Lv5jYGnATpt8Cq1JK
Red Bull Batalla de los Gallos,Aczino Vs Wos - Octavos de Final (Live),2020-01-31 16:49,558244,5IA8Qnaeu9minRHcFUn56F
Red Bull Batalla de los Gallos,Carpediem Vs Bnet - Octavos de Final (Live),2020-01-31 16:52,5429,3yMMH6N6J9ZnEFA6YiCK6i
Red Bull Batalla de los Gallos,Valles T Vs Jokker Liricis - Cuartos de Final (Live),2020-01-31 16:52,150680,7rpC4Lv5jYGnATpt8Cq1JK
Red Bull Batalla de los Gallos,Valles T Vs Chang - Octavos de Final (Live),2020-01-31 16:57,336740,5NojZ3FN9I2rU0zTNJ2VBt
Red Bull Batalla de los Gallos,Franco Vs Yartzi - Octavos de Final (Live),2020-01-31 16:57,10559,4oq8T1qd22TA3q4vGLhWhu
4 Elementos,Cypher #1 (Reggae Cypher),2020-01-31 17:02,5191,
H Muda,Sonido ilegal,2020-01-31 17:02,282303,
Lit Killah,Tan Bien (feat. Agus Padilla),2020-01-31 17:02,11707,43Q1jBoHh3pQkh3Oy7TA1g
WOS,CANGURO,2020-01-31 17:06,196745,2UAWYufVaO3EnUUNzl0ppO
Acru,ANIMAL,2020-01-31 17:09,170981,06b0Au6pvZiO03eKTCvgWh
WOS,TERRAZA,2020-01-31 17:12,234949,4Yx9jw2hqVk00uwLRBXKxc
Vico C,Desahogo,2020-01-31 17:24,84833,2sG0DhUyomwiWk5gcMUV7Z
Calle 13,La Crema,2020-01-31 21:21,2370,3ZUwkZWSiYxkP8kZDlxqnL
Eminem,Marsh,2020-01-31 21:25,200573,34d7sGX6WUqq8f04e7CSNF
Eminem,Little Engine,2020-01-31 21:28,177293,4qNWEOMyexn7b8Icyk29t9
Eminem,"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",2020-01-31 21:32,286960,5mZXWEH2eh8zMZGCxT5aW0
Eminem,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",2020-01-31 21:36,234653,0GQ5bFTVFFKpwNPc7KwQnB
H Muda,Sonido ilegal,2020-01-31 21:41,282303,
Lit Killah,Tan Bien (feat. Agus Padilla),2020-01-31 21:44,204988,43Q1jBoHh3pQkh3Oy7TA1g
Eminem,Godzilla (feat. Juice WRLD),2020-01-31 21:48,210800,7FIWs0pqAYbP91WWM0vlTQ
Eminem,Unaccommodating (feat. Young M.A),2020-01-31 21:52,216600,0q2vG0UVuy6ajjcpkQHdZM
